89.84,89.84,89.84,89.84,89.84,99.59,99.59,99.59,99.59,99.59,77.666,77.666,77.666,77.666,77.666,62.112,62.112,62.112,62.112,62.112,102.84,102.84,102.84,102.84,102.84,88.064,88.064,88.064,88.064,88.064,56.448,56.448,56.448,56.448,56.448,53.984,53.984,53.984,53.984,53.984,23.741,23.741,23.741,23.741,23.741,26.299,26.299,26.299,26.299,26.299,96.811,96.811,96.811,96.811,96.811,91.392,91.392,91.392,91.392,91.392
87.898,83.661,84.038,83.338,87.611,67.805,72.316,67.426,68.026,70.294,46.621,46.238,46.18,49.943,51.222,39.56,44.311,43.59,43.119,39.095,80.425,76.429,79.343,76.657,78.002,89.447,94.815,89.172,92.544,91.17,89.184,86.807,88.979,84.635,89.04,55.392,57.018,59.517,59.525,58.455,51.472,53.787,52.983,53.886,53.284,12.626,7.3922,8.68,10.988,12.544,83.087,81.495,78.879,78.362,80.878,69.414,69.586,69.614,67.194,70.871
112.52,111.45,114.27,115.48,116.27,92.696,94.494,93.339,95.639,90.464,79.648,79.136,78.265,77.449,78.822,38.164,41.229,38.028,39.01,38.009,45.491,47.496,49.411,44.939,45.841,71.092,66.824,70.554,67.47,69.569,70.337,71.733,69.841,74.511,68.654,27.95,28.429,28.931,24.984,26.77,26.962,22.044,27.687,24.939,26.823,26.065,27.024,25.671,26.592,25.624,62.026,63.976,62.238,64.345,62.422,60.426,64.898,64.202,65.322,64.096
117.08,116.06,113.18,112.88,117.05,84.275,88.797,86.223,85.19,87.638,99.336,101.21,99.727,101.71,102.43,10.807,9.4664,9.442,8.7861,12.092,37.766,32.969,38.173,35.745,38.562,40.454,40.618,41.397,44.498,39.58,41.858,43.877,42.735,39.428,42.59,26.442,25.342,25.977,23.795,24.008,15.441,16.911,14.774,17.534,16.448,38.911,39.904,36.823,39.414,40.443,37.261,35.36,38.943,37.461,33.382,83.47,83.733,81.158,81.037,80.681
98.53,102.19,101.51,97.089,97.754,113.84,112.37,112.3,115.42,115.74,111.03,108.09,111.13,110.47,110.01,18.18,16.173,19.406,17.687,19.078,43.354,43.329,46.751,47.825,47.82,61.655,60.428,59.595,58.91,61.094,9.1942,11.155,12.806,8.6964,11.216,20.991,24.583,21.689,23.473,23.331,6.7599,4.6071,6.1397,5.3242,7.6215,26.247,28.694,29.1,27.54,27.975,45.197,44.939,44.027,42.082,43.584,106.48,109.81,107.06,108.55,109.75
104.37,103.8,99.23,98.983,101.78,110.46,110.5,112.08,115.2,110.3,104.55,106.84,105.25,102.49,103.48,16.521,12.419,17.021,13.569,12.006,22.344,22.419,21.498,18.084,17.362,47.589,49.135,49.835,47.713,46.863,18.725,18.235,18.424,21.049,17.273,17.568,18.479,18.523,15.72,18.091,27.47,30.628,32.357,30.753,28.159,56.858,55.217,51.904,56.281,57.109,39.964,39.581,41.656,43.258,42.962,101.59,102.53,101.32,100.5,103.96
100.17,99.194,100.33,100.42,98.851,104.85,105.63,106.63,102.22,102.09,87.658,85.551,87.038,87.612,86.973,32.368,30.01,32.693,30.037,33.132,49.355,47.322,49.353,49.482,49.74,20.692,23.26,21.947,23.446,24.533,5.8587,5.9325,2.9211,3.9393,2.1166,21.988,21.331,21.937,21.024,21.55,23.98,26.721,26.42,22.104,22.247,70.611,72.834,75.582,70.362,71.065,37.352,34.443,37.52,36.274,39.723,108.14,108.06,109.7,107.62,111.6
103.6,103.77,102.47,101.27,101.05,81.349,82.692,81.07,81.175,77.874,67.735,72.236,73.174,69.315,70.483,60.662,57.423,57.665,57.478,58.254,26.39,24.495,27.318,28.256,28.532,37.603,40.777,37.664,40.681,37.776,11.402,7.3245,8.1549,8.9766,12.881,10.122,12.136,11.916,12.64,8.4783,12.912,11.838,14.799,11.073,13.31,45.43,43.991,45.974,44.072,45.369,12.762,9.2995,9.3997,11.392,9.8077,113.85,110.31,110.71,115.61,113.8
89.272,87.657,89.299,86.958,86.784,91.21,90.006,89.124,92.768,93.925,47.818,46.043,42.065,47.098,46.436,49.528,46.968,47.353,50.378,49.497,43.35,41.411,44.457,44.967,41.744,56.535,54.141,54.32,55.839,57.818,21.154,16.35,19.244,21.212,18.417,24.408,25.282,26.163,26.747,23.627,22.299,25.375,24.22,25.692,26.466,11.018,13.192,15.886,10.648,13.333,8.4071,12.167,10.92,10.395,9.0386,97.411,91.638,94.168,94.121,93.31
111.08,110.15,114.77,113.44,110.01,88.885,85.225,88.263,84.914,86.586,53.824,56.519,56.13,50.594,54.558,75.331,78.036,78.618,76.046,80.591,14.659,14.241,16.711,12.139,11.767,28.444,29.297,29.589,26.598,28.908,10.669,13.209,8.758,14.52,12.024,16.616,11.764,16.77,16.632,15.755,42.924,42.713,38.168,42.142,41.037,28.786,25.838,23.645,24.385,23.876,21.948,20.476,23.281,18.644,24.05,70.857,69.462,72.298,68.815,73.512
