0.0001565,0.0005152,0.0010166,0.58142,0.58321,0.58523,0.58606,0.58735,0.59629,0.59684,0.59882,0.59905
0.00038853,0.0001565,0.47933,0.47984,0.48004,0.50155,0.50184,0.50204,0.50215,0.62073,0.62079,0.68525
0.00027228,0.33095,0.0001565,0.3313,0.33144,0.34854,0.34872,0.34885,0.34893,0.39827,0.39831,0.4305
0.24913,0.24939,0.24964,0.0001565,0.25053,0.25158,0.252,0.25265,0.25596,0.25624,0.25696,0.25708
0.0015045,0.0017628,0.001972,0.0036828,0.0001565,0.0040228,0.12611,0.70614,0.70977,0.71019,0.71139,0.71157
0.0012632,0.017079,0.03884,0.040632,0.040886,0.0001565,0.041156,0.041391,0.041603,0.048056,0.048152,0.050539
0.0005712,0.00083355,0.0010358,0.0017223,0.047958,0.048229,0.0001565,0.17049,0.17125,0.17175,0.17207,0.17227
0.00065286,0.00076457,0.000857,0.0016093,0.25231,0.25246,0.30217,0.0001565,0.3037,0.30388,0.30438,0.30446
0.0070692,0.0071697,0.007263,0.012439,0.015631,0.015845,0.016617,0.018558,0.0001565,0.01868,0.064766,0.064826
0.00035521,0.13154,0.16895,0.16942,0.16972,0.17616,0.17666,0.17697,0.17709,0.0001565,0.17715,0.23009
0.0015464,0.0015968,0.0016439,0.0028202,0.0038277,0.0039254,0.0042403,0.0049453,0.053157,0.053216,0.0001565,0.053248
0.0001565,0.06458,0.09696,0.097155,0.097282,0.099694,0.099899,0.10003,0.10009,0.15453,0.15456,0.0001565
